hthg,htag,hs,hst,ast,hr,ar,result,index
0,0,10,2,3,0,0,-1,522
1,0,11,4,6,0,0,1,523
0,1,11,4,4,0,0,0,524
1,0,17,2,3,0,0,0,525
0,1,11,6,3,0,0,0,526
0,0,4,1,3,0,0,0,527
1,0,16,5,2,0,0,0,528
0,0,13,2,3,0,0,-1,529
1,0,5,3,3,0,0,1,530
0,0,8,3,3,0,0,0,531
0,4,4,1,6,0,0,-1,532
0,0,11,3,5,0,0,1,533
0,0,8,2,4,0,0,0,534
0,0,10,2,5,0,0,-1,535
1,0,19,9,5,0,0,1,536
2,0,20,7,5,1,0,1,537
2,0,9,4,2,0,0,1,538
1,3,13,4,4,0,0,0,539
0,2,7,3,12,0,0,-1,540
0,0,8,2,3,0,0,-1,541
0,3,9,2,6,0,0,-1,542
1,0,7,3,1,0,0,1,543
0,0,17,4,3,0,1,1,544
0,0,11,0,7,0,0,-1,545
1,1,12,3,3,0,0,-1,546
1,0,16,6,1,0,0,1,547
1,0,15,6,4,0,0,0,548
0,0,11,4,2,0,0,0,549
2,1,23,6,5,0,0,-1,550
0,1,7,2,2,0,0,-1,551
1,0,15,4,2,0,0,1,552
0,0,10,3,6,1,0,-1,553
1,0,16,5,3,0,0,1,554
0,2,15,5,5,0,0,-1,555
0,0,17,3,4,0,0,0,556
1,0,13,6,0,0,0,1,557
0,0,20,6,1,0,0,1,558
1,0,14,6,2,0,0,1,559
2,0,8,6,5,0,0,1,560
0,0,28,9,4,0,0,1,561
1,1,12,5,5,0,0,-1,562
0,0,27,6,4,0,0,-1,563
2,0,14,5,1,0,0,1,564
1,2,6,3,7,0,0,-1,565
0,1,22,5,2,0,0,-1,566
1,2,13,5,5,0,0,-1,567
0,4,4,1,7,0,0,-1,568
0,1,10,5,10,0,0,1,569
0,0,14,5,0,0,0,0,570
0,0,16,5,3,0,0,0,571
1,0,8,2,6,0,0,0,572
0,1,16,4,3,0,0,-1,573
0,1,3,2,7,0,0,-1,574
0,0,11,3,3,0,0,-1,575
0,0,11,2,4,0,0,1,576
1,0,10,5,1,0,0,1,577
0,1,5,3,7,0,0,0,578
0,0,17,3,3,0,0,0,579
0,1,20,5,4,0,0,-1,580
1,0,19,8,0,0,0,1,581
1,1,18,8,7,0,0,-1,582
0,0,8,2,5,0,0,-1,583
1,0,16,5,4,0,0,1,584
0,1,14,6,4,0,0,1,585
1,1,11,7,3,0,2,1,586
4,0,24,14,1,0,2,1,587
1,2,21,5,3,0,0,-1,588
0,2,2,0,6,0,0,-1,589
0,2,8,1,5,0,0,-1,590
0,2,16,7,6,0,0,-1,591
0,0,9,2,10,0,0,-1,592
0,0,11,1,4,0,0,-1,593
0,1,7,2,2,0,0,-1,594
1,0,12,8,3,0,0,1,595
0,1,20,7,2,0,0,0,596
3,1,6,4,5,1,0,1,597
0,0,20,2,1,0,1,0,598
2,0,14,5,3,0,0,0,599
0,0,13,6,1,0,0,1,600
0,0,13,1,3,0,0,0,601
0,0,8,3,5,0,0,-1,602
0,1,8,3,3,0,0,-1,603
1,0,17,7,3,0,0,1,604
0,0,11,6,4,0,0,1,605
0,2,13,3,4,0,0,-1,606
1,0,15,6,3,0,0,1,607
0,0,26,9,1,0,0,0,608
1,0,7,3,4,0,0,-1,609
1,1,7,3,7,0,0,0,610
3,0,13,5,5,0,0,1,611
0,0,7,2,3,0,0,-1,612
1,0,13,9,5,0,0,1,613
2,0,18,5,4,0,0,1,614
0,0,8,3,3,0,0,0,615
1,1,3,2,7,0,0,-1,616
0,0,15,5,7,0,0,1,617
1,0,4,1,3,0,0,0,618
0,0,6,1,3,0,1,0,619
0,1,15,6,6,0,0,-1,620
0,0,15,7,2,0,0,1,621
1,0,4,4,4,0,0,1,622
0,2,11,2,7,0,0,-1,623
0,1,7,1,3,0,0,-1,624
1,1,15,7,6,0,0,1,625
0,1,25,5,2,0,0,-1,626
0,0,11,7,5,0,0,1,627
1,1,10,3,3,0,0,1,628
1,0,6,2,6,0,0,1,629
0,1,13,3,4,0,0,-1,630
0,0,19,7,4,0,0,0,631
0,0,3,0,4,0,0,0,632
1,2,8,3,4,0,0,-1,633
3,0,16,7,3,0,0,1,634
0,0,18,6,4,0,0,0,635
0,0,8,2,8,0,0,-1,636
1,0,7,1,1,0,0,1,637
1,0,22,10,1,0,0,1,638
1,1,12,7,4,0,0,0,639
1,0,9,2,4,1,0,1,640
0,0,8,2,1,0,0,0,641
0,1,11,3,2,0,0,-1,642
0,0,11,3,3,0,0,-1,643
0,1,7,1,5,0,0,-1,644
1,1,9,5,3,0,0,0,645
0,1,8,2,5,0,0,-1,646
0,0,9,1,2,0,0,0,647
1,0,7,2,4,0,0,-1,648
0,0,13,3,5,0,0,0,649
0,1,16,3,3,0,0,-1,650
0,1,23,6,6,0,0,-1,651
1,1,12,5,1,0,0,1,652
1,0,19,9,1,0,0,1,653
2,0,16,5,2,0,0,1,654
3,1,17,10,6,0,0,1,655
0,0,12,3,6,0,0,0,656
0,0,7,4,8,0,0,0,657
1,0,6,4,1,0,0,1,658
1,2,14,4,5,0,0,-1,659
0,0,3,0,7,0,0,-1,660
1,1,9,4,6,0,0,-1,661
1,0,19,10,0,0,0,1,662
1,1,13,3,3,0,1,1,663
0,0,15,4,0,0,0,1,664
0,1,10,5,4,0,0,-1,665
1,1,13,6,4,0,0,-1,666
1,0,11,6,1,0,0,1,667
3,1,15,5,7,0,0,0,668
0,1,8,1,3,0,0,-1,669
1,2,18,8,7,1,0,-1,670
1,1,23,8,1,0,0,1,671
0,0,5,2,4,0,0,-1,672
0,0,3,2,7,0,0,-1,673
2,2,24,9,5,0,0,1,674
1,2,22,6,5,0,0,0,675
0,0,14,4,7,0,0,1,676
0,1,15,7,3,0,0,1,677
0,0,15,7,6,0,0,0,678
1,3,20,5,6,0,0,-1,679
0,0,14,3,3,0,0,-1,680
0,1,29,7,2,0,1,-1,681
0,1,23,10,5,0,0,1,682
0,3,1,1,10,0,0,-1,683
1,0,24,4,5,0,0,-1,684
2,0,4,4,5,0,0,1,685
1,0,12,3,7,0,0,-1,686
0,1,7,2,5,0,0,-1,687
2,0,15,6,4,0,0,1,688
0,0,23,3,1,0,0,0,689
1,1,18,7,3,0,0,0,690
2,0,16,8,6,0,1,1,691
0,0,10,5,2,0,0,1,692
0,0,18,5,1,0,0,0,693
0,0,17,9,3,0,0,1,694
0,1,12,5,7,0,0,0,695
0,0,7,4,2,0,1,0,696
0,1,12,3,5,0,0,1,697
1,2,8,3,3,1,1,-1,698
3,0,17,7,1,0,0,1,699
0,0,14,3,1,0,0,-1,700
1,0,22,9,4,0,0,0,701
0,1,9,2,6,1,0,-1,702
1,0,7,3,4,0,0,1,703
0,3,12,2,7,0,0,-1,704
0,0,6,3,4,0,0,0,705
1,1,24,11,4,0,0,0,706
0,1,13,5,2,0,0,1,707
0,0,5,3,9,1,0,0,708
0,0,9,4,3,0,0,-1,709
1,0,17,5,2,0,0,1,710
1,0,9,5,3,0,0,1,711
1,1,16,3,5,0,0,-1,712
0,1,5,1,5,1,0,-1,713
1,0,20,11,1,0,0,1,714
0,1,10,4,10,0,0,0,715
1,2,8,3,4,0,0,-1,716
0,2,25,9,6,0,0,-1,717
2,1,16,7,3,0,0,1,718
0,1,7,0,8,0,0,-1,719
1,0,16,4,5,0,0,-1,720
1,0,14,6,6,0,0,1,721
0,1,16,6,3,0,2,1,722
1,0,11,5,7,1,0,-1,723
0,1,11,0,3,0,0,-1,724
2,0,15,7,1,0,0,1,725
0,2,21,3,5,0,0,-1,726
1,1,4,1,3,0,0,-1,727
1,1,13,6,4,0,0,1,728
0,1,19,5,2,0,0,-1,729
0,0,13,2,5,0,0,0,730
1,2,18,3,8,0,0,-1,731
2,2,11,5,6,0,0,-1,732
0,1,16,4,6,0,0,-1,733
1,0,11,7,3,0,0,1,734
0,0,10,2,3,0,0,0,735
1,2,23,8,5,0,0,1,736
1,0,24,13,3,0,0,1,737
1,1,10,3,6,0,0,-1,738
0,1,16,6,3,0,0,-1,739
1,0,13,6,5,0,0,0,740
0,0,18,3,7,0,0,-1,741
0,1,19,6,4,0,1,1,742
0,0,17,6,3,0,0,1,743
0,0,14,4,3,0,0,1,744
1,0,16,5,1,0,0,1,745
1,2,10,4,4,0,0,-1,746
0,1,12,6,3,0,0,-1,747
0,1,10,4,3,0,0,-1,748
1,1,14,4,9,0,0,-1,749
0,0,16,5,1,0,0,1,750
1,0,6,3,7,0,1,1,751
0,1,14,0,4,0,0,-1,752
2,0,17,9,5,0,0,1,753
